,similarity,word1,word2
0,0.0,старый,новый
1,9.76923076923077,умный,умный
2,9.692307692307693,жёсткий,сложно
3,9.307692307692307,счастливый,весёлый
4,0.0,жёсткий,легко
5,9.846153846153848,быстрый,быстрый
6,9.384615384615383,счастливый,рад
7,0.0,короткий,длинный
8,9.076923076923077,глупо,тупой
9,9.692307692307693,странно,странно
10,0.0,широкий,узкий
11,9.384615384615383,плохо,ужасно
12,0.0,легко,сложно
13,9.461538461538463,плохо,страшный
14,0.0,жёсткий,простой
15,0.0,умный,тупой
16,9.615384615384617,ум,сумасшедший
17,0.0,счастливый,с ум
18,9.692307692307693,большой,огромный
19,9.153846153846152,жёсткий,жёсткий
20,8.615384615384615,новый,свежий
21,0.0,острый,скучно
22,9.846153846153848,быстрый,быстрый
23,8.923076923076922,тупой,глупо
24,9.615384615384617,замечательный,потрясать
25,9.615384615384617,странно,странно
26,0.0,счастливый,злой
27,0.0,узкий,широкий
28,9.615384615384617,простой,легко
29,0.0,старый,свежий
30,9.076923076923077,очевидно,очевидно
31,9.692307692307693,недорого,дешёвый
32,7.3076923076923075,приятно,щедрый
33,0.0,странно,нормальный
34,9.76923076923077,странно,странно
35,7.769230769230768,плохо,аморально
36,0.0,печально,смешно
37,9.538461538461537,замечательный,большой
38,7.3076923076923075,виновный,пристыдить
39,7.153846153846153,красивый,замечательный
40,9.384615384615383,уверенный,уверенный
41,7.0,тупой,плотный
42,10.0,большой,большой
43,0.0,приятно,жестокий
44,8.23076923076923,нетерпеливый,тревожный
45,8.384615384615385,большой,широкий
46,4.769230769230768,сильный,гордый
47,0.0,ненужный,надо
48,0.38461538461538464,неприкаянный,молодая
49,0.0,тупой,умный
50,0.0,плохо,большой
51,0.0,сложно,простой
52,9.076923076923077,надо,важный
53,0.0,плохо,потрясать
54,0.0,с ум,рад
55,0.0,честно,виновный
56,0.0,легко,жёсткий
57,3.692307692307693,легко,гибкий
58,9.692307692307693,определённый,уверенный
59,9.846153846153848,важный,надо
60,0.0,разный,нормальный
61,8.307692307692307,исподтишка,умный
62,9.615384615384617,важный,важный
63,8.461538461538463,суровый,жестокий
64,6.461538461538463,по-детски,глупо
65,9.615384615384617,скудный,редкий
66,4.538461538461538,дружелюбный,щедрый
67,0.6153846153846154,хрупкий,фригидный
68,2.1538461538461537,длинный,узкий
69,4.615384615384615,большой,тяжёлый
70,0.07692307692307693,грубо,фригидный
71,9.692307692307693,странно,странно
72,4.6923076923076925,незаконный,аморально
73,4.230769230769232,плохо,виновный
74,0.0,современный,древние
75,0.0,новый,древние
76,0.0,скучно,смешно
77,0.07692307692307693,счастливый,молодая
78,0.0,легко,большой
79,0.0,большой,ужасно
80,0.0,крошечный,огромный
81,7.9230769230769225,вежливый,правильный
82,1.9230769230769231,скромный,пристыдить
83,8.307692307692307,экзотический,редкий
84,0.0,тупой,умный
85,9.23076923076923,восхитительный,замечательный
86,9.153846153846152,заметно,очевидно
87,6.9230769230769225,бояться,тревожный
88,8.076923076923077,официальный,правильный
89,6.9230769230769225,муторный,скучно
90,8.461538461538463,восхитительный,весёлый
91,6.384615384615384,недовольный,с ум
92,6.0,печально,страшный
93,2.3846153846153846,больной,сумасшедший
94,5.9230769230769225,жестокий,злой
95,8.0,гружёный,тяжёлый
96,0.7692307692307693,грязный,дешёвый
97,7.9230769230769225,эластичный,гибкий
98,5.307692307692308,жёсткий,плотный
99,8.461538461538463,последний,новый
100,1.3076923076923077,смелый,гордый
101,0.38461538461538464,исподтишка,странно
102,0.15384615384615385,странно,исподтишка
103,0.0,тупой,редкий
104,0.0,исподтишка,жёсткий
105,0.0,потрясать,с ум
106,0.0,скромный,гибкий
107,0.0,свежий,широкий
108,0.0,огромный,тупой
109,0.0,большой,гибкий
110,0.0,грязный,узкий
111,0.8461538461538461,жена,муж
112,2.5384615384615383,книга,текст
113,0.8461538461538461,жених,невеста
114,0.0,ночь,день
115,0.07692307692307693,южный,север
116,1.6153846153846154,самолёт,аэропорт
117,0.7692307692307693,дядя,тётя
118,7.153846153846153,лошадь,кобыла
119,0.07692307692307693,дно,топ
120,9.538461538461537,друг,дружище
121,9.615384615384617,студент,ученик
122,6.307692307692308,мир,глобус
123,0.15384615384615385,нога,рука
124,6.0769230769230775,самолёт,самолёт
125,0.0,женщина,человек
126,7.6923076923076925,лошадь,кольт
127,3.0769230769230766,актриса,актёр
128,9.538461538461537,учитель,инструктор
129,9.23076923076923,фильм,фильм
130,6.769230769230768,птица,ястреб
131,2.0,слово,словарь
132,4.615384615384615,деньга,зарплата
133,0.0,собака,кошка
134,9.0,площадь,область
135,1.6923076923076923,военно-морской флот,армия
136,3.5384615384615383,книга,литература
137,1.1538461538461535,одежда,шкаф
138,0.07692307692307693,закат,восход
139,0.0,ребёнок,взрослый
140,6.769230769230768,корова,крупный рогатый скот
141,2.1538461538461537,книга,история
142,0.15384615384615385,зима,лето
143,9.615384615384617,такси,такси
144,6.307692307692308,дерево,кленовый
145,0.7692307692307693,кровать,спальня
146,4.538461538461538,крыша,потолок
147,7.0769230769230775,болезнь,инфекция
148,3.4615384615384617,рука,плечо
149,8.23076923076923,овца,баранина
150,1.6923076923076923,леди,джентльмен
151,2.9230769230769234,лодка,якорь
152,5.307692307692308,священник,монах
153,3.3846153846153846,носка,палец
154,4.384615384615385,река,поток
155,7.9230769230769225,гнев,ярость
156,4.230769230769232,дата,календарь
157,6.230769230769232,мор,океан
158,2.6923076923076925,два,минута
159,3.3076923076923075,рука,большой палец
160,4.538461538461538,древесина,журнал
161,4.461538461538462,грязь,грязь
162,8.538461538461537,коридор,коридор
163,6.230769230769232,путь,образ
164,1.7692307692307692,мышь,кошка
165,7.461538461538463,кс,шериф
166,4.846153846153847,смерть,захоронение
167,6.461538461538463,музыка,мелодия
168,5.9230769230769225,пиво,алкоголь
169,5.615384615384616,рота,губа
170,6.846153846153847,шторм,ураган
171,2.769230769230769,налог,доход
172,5.0,цветок,фиолетовый
173,3.5384615384615383,бумага,картон
174,1.6153846153846154,половина,потолок
175,6.461538461538463,пляж,побережье
176,2.3076923076923075,штанга,занавес
177,2.0,гончий,лис
178,4.153846153846153,улица,аллея
179,2.230769230769231,лодка,палуба
180,2.3076923076923075,автомобиль,рог
181,3.8461538461538463,друг,гость
182,3.4615384615384617,работодатель,сотрудник
183,2.769230769230769,рука,наручный
184,3.615384615384616,мяч,пушка
185,5.153846153846153,алкоголь,коньяк
186,7.615384615384616,победа,триумф
187,1.9230769230769231,телефон,стенд
188,5.538461538461538,дверь,дверной проём
189,5.846153846153847,мотель,инна
190,3.692307692307693,одежда,ткань
191,6.846153846153847,стейк,мясо
192,2.6153846153846154,лак для ноготь,большой палец
193,5.615384615384616,группа,оркестр
194,5.153846153846153,книга,библия
195,5.6923076923076925,бизнес,промышленность
196,4.0,зима,сезон
197,2.6923076923076925,десятилетие,век
198,5.538461538461538,алкоголь,джина
199,2.230769230769231,шляпа,пальто
200,1.5384615384615383,окно,дверь
201,2.4615384615384617,рука,наручный
202,5.461538461538462,дом,квартира
203,4.769230769230768,стекло,кристалл
204,3.8461538461538463,вино,коньяк
205,9.615384615384617,создатель,производитель
206,1.2307692307692308,ужин,завтрак
207,2.0769230769230766,рука,мышца
208,5.307692307692308,пузырь,пена
209,1.6153846153846154,хлеб,мука
210,4.461538461538462,смерть,трагедия
211,0.07692307692307693,отсутствие,присутствие
212,4.0,пистолет,пушка
213,1.6153846153846154,трава,лезвие
214,1.4615384615384617,мяч,корзина
215,0.7692307692307693,шланг,сад
216,5.0,мальчик,ребёнок
217,1.4615384615384617,церковь,хор
218,1.0,одежда,ящик
219,1.0,башня,колокол
220,6.384615384615384,отец,родитель
221,2.1538461538461537,школа,класс
222,4.230769230769232,родитель,взрослый
223,1.0,бар,тюрьма
224,1.0769230769230769,автомобиль,шоссе
225,2.6923076923076925,словарь,определение
226,0.6153846153846154,дверь,погреб
227,6.230769230769232,армия,легион
228,4.9230769230769225,металл,алюминий
229,4.769230769230768,стул,скамейка
230,4.846153846153847,облако,туман
231,5.230769230769232,мальчик,сын
232,3.8461538461538463,вода,лёд
233,2.0,кровать,одеяло
234,9.461538461538463,адвокат,адвокат
235,9.153846153846152,площадь,зона
236,8.153846153846152,бизнес,компания
237,3.5384615384615383,одежда,ткань
238,4.230769230769232,свитер,куртка
239,5.615384615384616,деньга,капитал
240,0.6923076923076923,рука,нога
241,5.615384615384616,алкоголь,коктейль
242,1.6923076923076923,двор,дюйм
243,3.9230769230769234,молекула,атом
244,2.769230769230769,объектив,камера
245,6.6923076923076925,питание,ужин
246,1.3076923076923077,глаз,слеза
247,0.2307692307692308,бог,дьявол
248,1.8461538461538465,петлить,пояс
249,4.6923076923076925,крыса,мышь
250,8.538461538461537,мотор,двигатель
251,3.8461538461538463,автомобиль,такси
252,3.1538461538461537,кошка,левый
253,6.0,размер,величина
254,0.2307692307692308,реальность,фантазия
255,7.230769230769232,дверь,ворот
256,2.6923076923076925,кошка,пэт
257,1.7692307692307692,олово,алюминий
258,1.9230769230769231,костя,челюсть
259,0.6923076923076923,хлопья,пшеница
260,0.3076923076923077,дом,ключ
261,0.8461538461538461,кровь,плоть
262,0.2307692307692308,дверь,коридор
263,2.769230769230769,бог,дух
264,4.769230769230768,возможность,компетенция
265,7.538461538461537,изобилие,много
266,2.769230769230769,диван,стул
267,0.7692307692307693,стена,кирпич
268,0.4615384615384616,рог,барабан
269,2.5384615384615383,орган,печень
270,3.692307692307693,сила,мочь
271,0.6923076923076923,фраза,слово
272,0.5384615384615384,группа,парад
273,1.3846153846153846,желудок,талия
274,1.1538461538461535,облако,шторм
275,3.4615384615384617,радость,гордость
276,2.769230769230769,шум,погремушка
277,2.8461538461538463,дождь,туман
278,4.384615384615385,пиво,напиток
279,2.0769230769230766,человек,дядя
280,0.38461538461538464,яблоко,сок
281,3.615384615384616,интеллект,логика
282,5.615384615384616,общение,язык
283,0.4615384615384616,норковый,мех
284,4.230769230769232,толпа,толпа
285,6.384615384615384,берег,побережье
286,4.615384615384615,провод,шнур
287,2.3076923076923075,птица,турция
288,3.1538461538461537,кровать,шпаргалка
289,6.0,компетенция,способность
290,3.0,облако,дымка
291,3.9230769230769234,ужин,питание
292,1.0,бар,клетка
293,0.2307692307692308,вода,соль
294,6.307692307692308,смысл,интуиция
295,5.538461538461538,ситуация,состояние
296,5.615384615384616,преступление,воровство
297,5.538461538461538,стиль,мода
298,9.076923076923077,граница,граница
299,1.5384615384615383,рука,тело
300,1.3076923076923077,лодка,автомобиль
301,2.3846153846153846,сэндвич,обед
302,1.6923076923076923,невеста,принцесса
303,6.846153846153847,героиня,герой
304,1.0769230769230769,автомобиль,датчик
305,3.4615384615384617,насекомое,пчёлка
306,6.769230769230768,шпаргалка,колыбель
307,0.9230769230769232,животный,человек
308,3.0769230769230766,марихуана,трава
309,1.8461538461538465,кровать,больница
310,1.6153846153846154,щека,язык
311,1.6153846153846154,диск,компьютер
312,2.3846153846153846,кривая,угол
313,2.5384615384615383,трава,мох
314,1.6153846153846154,школа,закон
315,1.0769230769230769,нога,глава
316,4.076923076923077,мать,хранитель
317,4.307692307692308,ортодонт,стоматолог
318,5.461538461538462,алкоголь,висок
319,2.1538461538461537,рота,зуб
320,2.230769230769231,завтрак,бекон
321,1.4615384615384617,ванная комнат,спальня
322,2.0769230769230766,плита,чаша
323,3.3846153846153846,мясо,бекон
324,1.7692307692307692,воздух,гелий
325,1.0769230769230769,работник,работодатель
326,1.6923076923076923,тело,грудной клетка
327,1.3076923076923077,сын,отец
328,1.1538461538461535,сердце,хирургия
329,1.2307692307692308,женщина,секретарь
330,3.7692307692307687,человек,отец
331,2.0,пляж,остров
332,1.6153846153846154,история,тема
333,2.230769230769231,игра,удовольствие
334,3.0,выходной,неделя
335,6.846153846153847,пара,пара
336,2.8461538461538463,женщина,жена
337,1.3846153846153846,овца,крупный рогатый скот
338,4.461538461538462,портмоне,сумка
339,1.6923076923076923,потолок,собор
340,1.0769230769230769,фасоль,кофе
341,1.1538461538461535,древесина,бумага
